,0
355,2012-12-11
356,2015-06-20
357,2016-01-29
358,1982-03-19
359,1997-09-15
360,1988-02-11
361,2016-02-21
362,2013-02-03
363,2016-02-06
364,1988-12-14
365,1999-11-02
366,2015-05-03
367,2016-03-07
368,2016-01-17
369,2015-02-04
370,2016-03-19
371,2005-03-21
372,1994-12-30
373,2013-01-30
374,1993-05-06
375,2014-02-20
376,1998-03-06
377,2007-12-05
378,2008-10-26
379,2015-08-19
380,1991-11-14
381,2016-02-25
382,2015-02-24
383,1983-02-18
384,2013-10-21
385,2013-02-19
386,2001-03-05
387,2016-03-26
388,2011-02-06
389,2005-02-24
390,2015-10-21
391,2007-10-25
392,2014-08-08
393,2013-06-07
394,1999-05-20
395,2016-01-25
396,2016-02-20
397,2004-12-08
398,1991-08-09
399,2013-04-21
400,2015-06-07
401,2016-02-19
402,2007-12-24
403,1989-09-14
404,2013-08-07
405,1985-01-21
406,2016-02-28
407,2012-04-06
408,2012-09-28
409,1992-09-11
410,2015-02-10
411,2016-01-11
412,1989-08-10
413,2013-12-28
414,2015-02-26
415,2012-12-14
416,2015-03-13
417,2016-01-27
418,2015-05-12
419,2011-09-06
420,2015-03-18
421,2015-05-31
422,2016-02-20
423,2016-04-21
424,2016-02-26
425,2016-03-19
426,2015-08-26
427,2015-07-22
428,1984-06-29
429,2015-02-22
430,2016-02-25
431,1993-09-17
432,2013-08-05
433,2016-04-19
434,1996-02-02
435,2014-06-08
436,2015-11-23
437,2015-04-25
438,2015-02-28
439,2004-11-21
440,2015-01-24
441,1998-05-21
442,1993-12-14
443,1993-07-08
444,2016-01-31
445,2016-03-20
446,2012-06-09
447,2001-02-05
448,2014-06-05
449,2015-11-23
450,2016-03-13
451,2015-05-10
452,2015-11-15
453,2015-03-30
454,1999-12-30
455,2007-12-11
456,2015-11-04
457,2016-03-21
458,2015-07-12
459,1993-05-06
460,2008-07-24
461,2015-06-16
462,1992-10-15
463,2012-09-27
464,2016-03-06
465,1974-12-30
466,2008-02-14
467,1988-09-26
468,2016-03-20
469,2007-02-12
470,2016-03-09
471,1998-04-24
472,2006-03-25
473,1990-06-17
474,2012-01-29
475,1996-08-15
476,2016-01-23
477,2016-02-20
478,2014-04-29
479,1988-05-20
480,2016-04-09
481,2016-02-28
482,2014-10-24
483,2000-12-26
484,2016-04-07
485,1997-12-01
486,2016-01-23
487,2015-03-28
488,1986-08-20
489,2003-05-09
490,2016-03-25
491,2016-04-09
492,1994-11-07
493,1983-08-19
494,2015-10-01
495,2014-12-01
496,2015-08-29
497,1974-01-17
498,1999-04-20
499,2015-12-06
500,1988-02-16
501,1982-08-20
502,2015-08-08
503,2016-02-09
504,1991-10-16
505,2009-03-29
506,2015-03-15
507,2006-01-30
508,2015-04-21
509,2016-03-21
510,2016-04-01
511,2014-03-23
512,2009-03-29
513,2013-07-26
514,1966-08-01
515,2011-01-08
516,1979-10-06
517,2014-06-29
518,1976-07-12
519,2015-09-10
520,2011-04-06
521,2016-04-29
522,2013-03-13
523,2015-11-27
524,2016-02-07
525,2016-04-18
526,1994-06-20
527,2015-10-09
528,1992-05-01
529,2011-07-07
530,2007-12-09
531,2016-03-25
532,2009-04-03
533,2013-04-24
534,2016-03-15
535,1988-09-22
536,2015-02-09
537,2016-03-06
538,2015-07-16
539,2012-05-30
540,1995-11-15
541,1984-02-24
542,2015-09-27
543,2015-04-03
544,2015-10-01
545,2015-03-19
546,2006-10-02
547,2016-02-06
548,1991-11-01
549,1985-03-06
550,2007-10-11
551,1989-01-17
552,2015-02-01
553,1991-10-10
554,2015-11-13
555,2016-03-11
556,2015-11-07
557,2015-04-07
558,1999-09-15
559,2016-04-26
560,1995-01-26
561,1971-11-11
562,2015-10-31
563,2015-02-07
564,2007-04-10
565,2003-07-08
566,2006-08-30
567,2003-08-27
568,2002-01-16
