YEAR,ORI,AGENCY NAME,POPULATION,NUMBER OF MONTHS REPROTED,TOTAL COMMERCIAL SEX ACTS,TOTAL COMMERCIAL SEX ACTS CLEARED,TOTAL COMMERCIAL SEX ACTS JUVENILE CLEARED,TOTAL INVOLUNTARY SERVITUDE,TOTAL INVOLUNTARY SERVITUDE CLEARED,TOTAL INVOLUNTARY SERVITUDE JUVENILE CLEARED
2013,IN04901,BEECH GROVE,"14,384",9,0,0,0,0,0,0
2013,IN04904,INDIANA UN:INDIANAPOLIS,0,12,0,0,0,0,0,0
2013,IN04906,INDIANAPOLIS INTRNTL APT,0,11,0,0,0,0,0,0
2013,IN04940,BUTLER UNIVERSITY,0,5,0,0,0,0,0,0
2013,IN05005,CULVER,"1,389",5,0,0,0,0,0,0
2013,IN05100,MARTIN,"7,543",5,0,0,0,0,0,0
2013,IN05200,MIAMI,"25,265",11,0,0,0,0,0,0
2013,IN05201,PERU,"11,219",7,0,0,0,0,0,0
2013,IN05300,MONROE,"53,227",10,0,0,0,0,0,0
2013,IN05302,INDIANA UNIV:BLOOMINGTON,0,11,0,0,0,0,0,0
2013,IN05303,ELLETTSVILLE,"6,584",11,0,0,0,0,0,0
2013,IN05400,MONTGOMERY,"22,362",10,0,0,0,0,0,0
2013,IN05502,MOORESVILLE,"9,490",12,0,0,0,0,0,0
2013,IN05600,NEWTON,"14,008",11,0,0,0,0,0,0
2013,IN05702,LIGONIER,"4,385",2,0,0,0,0,0,0
2013,IN06201,TELL CITY,"7,228",6,0,0,0,0,0,0
2013,IN06401,CHESTERTON,"13,238",11,0,0,0,0,0,0
2013,IN06402,PORTAGE,"36,862",1,0,0,0,0,0,0
2013,IN06406,PORTER,"4,883",1,0,0,0,0,0,0
2013,IN06802,WINCHESTER,"4,866",1,0,0,0,0,0,0
2013,IN06900,RIPLEY,"23,733",1,0,0,0,0,0,0
2013,IN07100,ST. JOSEPH,"113,414",6,0,0,0,0,0,0
2013,IN07111,ST. JOSEPH CO AIRPORT AU,0,1,0,0,0,0,0,0
2013,IN07201,SCOTTSBURG,"6,614",12,0,0,0,0,0,0
2013,IN07300,SHELBY,"25,363",4,0,0,0,0,0,0
2013,IN07301,SHELBYVILLE,"19,159",8,0,0,0,0,0,0
2013,IN07502,NORTH JUDSON,"1,759",3,0,0,0,0,0,0
2013,IN07600,STEUBEN,"25,621",11,0,0,0,0,0,0
2013,IN07900,TIPPECANOE,"78,529",7,0,0,0,0,0,0
2013,IN07901,LAFAYETTE,"68,173",11,0,0,0,0,0,0
2013,IN07902,WEST LAFAYETTE,"30,687",6,0,0,0,0,0,0
2013,IN07903,PURDUE UNIVERSITY,0,8,0,0,0,0,0,0
2013,IN08000,TIPTON,"10,686",12,0,0,0,0,0,0
